Maquina,Indice_Tiempo,Tiempo_Entre_Fallas
CHARROS,16,0.034643669
CHARROS,17,0.100948495
CHARROS,18,1.130616123
CHARROS,19,0.373500116
CHARROS,20,4.859239317
CHARROS,21,0.436802465
CHARROS,22,1.187730868
CHARROS,23,5.909415324
CHARROS,24,0.714975
CHARROS,25,0.816958102
CHARROS,26,8.008269722
CHARROS,27,15.8301652
CHARROS,28,4.333881053
CHARROS,29,26.97054314
CHARROS,30,46.94702971
CHARROS,31,8.337277396
CHARROS,32,0.120746609
CHARROS,33,18.04085559
CHARROS,34,0.600245567
CHARROS,35,7.609222106
CHARROS,36,0.059945336
CHARROS,37,6.726417674
CHARROS,38,4.2775125
CHARROS,39,13.07997608
CHARROS,40,12.24410863
CHARROS,41,0.153910382
CHARROS,42,0.246603426
CHARROS,43,2.204054363
CHARROS,44,1.187056944
CHARROS,45,10.47582338
CHARROS,46,3.455475
CHARROS,47,0.805111887
CHARROS,48,2.521466285
CHARROS,49,1.722177118
CHARROS,50,3.666143553
CHARROS,51,7.084676655
CHARROS,52,4.242815938
CHARROS,53,27.90008623
CHARROS,54,11.44616659
CHARROS,55,13.03293209
CHARROS,56,3.469379201
CHARROS,57,0.935279398
CHARROS,58,0.99706625
CHARROS,59,5.097549005
CHARROS,60,3.314567326
CHARROS,61,6.822752778
CHARROS,62,16.02582824
CHARROS,63,1.336912072
CHARROS,64,2.20112353
CHARROS,65,0.8894211
CHARROS,66,4.88890875
CHARROS,67,2.621361146
CHARROS,68,16.43679765
CHARROS,69,12.74276551
CHARROS,70,32.08772697
CHARROS,71,4.637877199
CHARROS,72,4.027405984
CHARROS,73,0.071832292
CHARROS,74,0.634864664
CHARROS,75,14.04695606
CHARROS,76,6.813383067
CHICAGO,1,1.778042708
CHICAGO,2,13.42975243
CHICAGO,3,0.928922569
CHICAGO,4,14.25885539
CHICAGO,5,0.661852893
CHICAGO,6,1.127762002
CHICAGO,7,1.70272485
CHICAGO,8,21.10579737
CHICAGO,9,5.046222523
CHICAGO,10,11.1809277
CHICAGO,11,0.38350412
CHICAGO,12,1.773186956
CHICAGO,13,0.154847569
CHICAGO,14,69.93010559
CHICAGO,15,9.648427002
CHICAGO,16,0.823274074
CHICAGO,17,2.352596829
CHICAGO,18,0.138267245
CHICAGO,19,0.766410764
CHICAGO,20,0.760833762
CHICAGO,21,0.343609491
CHICAGO,22,2.804335683
CHICAGO,23,2.718284873
CHICAGO,24,0.211268009
CHICAGO,25,0.423335463
CHICAGO,26,0.596523657
CHICAGO,27,10.66732098
CHICAGO,28,1.368336146
CHICAGO,29,4.831088113
CHICAGO,30,0.49268434
CHICAGO,31,0.449531447
CHICAGO,32,0.193388009
CHICAGO,33,0.606488044
CHICAGO,34,21.7524723
CHICAGO,35,0.326975116
CHICAGO,36,2.537670752
CHICAGO,37,0.072345833
CHICAGO,38,6.441535648
CHICAGO,39,0.404264502
CHICAGO,40,2.765428241
CHICAGO,41,1.173821829
CHICAGO,42,3.441347407
CHICAGO,43,2.849269445
CHICAGO,44,19.17737017
CHICAGO,45,31.8575105
CHICAGO,46,1.964907095
CHICAGO,47,31.3837767
CHICAGO,48,0.076274769
CHICAGO,49,0.043514387
CHICAGO,50,3.374412847
CHICAGO,51,3.677980822
CHICAGO,52,9.842816204
CHICAGO,53,0.025611192
CHICAGO,54,2.233108611
CHICAGO,55,0.137032373
CHICAGO,56,15.13695921
CHICAGO,57,61.94210435
CHICAGO,58,0.086285231
CHICAGO,59,11.36085501
CHICAGO,60,0.418623762
CHICAGO,61,12.6522601
CHICAGO,62,8.071551852
CHICAGO,63,8.265966933
CHICAGO,64,0.354690278
CHICAGO,65,5.153552893
CHICAGO,66,1.88938287
CHICAGO,67,0.493150347
CHICAGO,68,23.10852647
CHILINDRINA,1,0.125354167
CHILINDRINA,2,2.361464387
CHILINDRINA,3,12.08026709
CHILINDRINA,4,5.28654125
CHILINDRINA,5,34.61612758
CHILINDRINA,6,9.935681829
CHILINDRINA,7,17.98858118
CHILINDRINA,8,2.772706285
CHILINDRINA,9,18.51105582
CHILINDRINA,10,2.615774144
CHILINDRINA,11,5.563827894
CHILINDRINA,12,21.6452098
CHILINDRINA,13,1.066439896
CHILINDRINA,14,10.43678978
CHILINDRINA,15,2.795984884
CHILINDRINA,16,1.631643021
CHILINDRINA,17,16.82397682
CHILINDRINA,18,3.307862616
CHILINDRINA,19,2.311054167
CHILINDRINA,20,1.774370683
CHILINDRINA,21,0.674275197
CHILINDRINA,22,0.096896956
CHILINDRINA,23,0.292217593
CHILINDRINA,24,66.3173416
CHILINDRINA,25,16.93996532
CHILINDRINA,26,3.620780093
CHILINDRINA,27,29.67175544
CHILINDRINA,28,15.26074788
CHILINDRINA,29,10.63363009
CHILINDRINA,30,1.026067326
CHILINDRINA,31,3.742186273
CHILINDRINA,32,5.894376551
CHILINDRINA,33,145.2220164
CHILINDRINA,34,19.74360552
CHILINDRINA,35,14.79680873
CHILINDRINA,36,14.74422416
CHILINDRINA,37,2.187275764
CHILINDRINA,38,11.70897469
CHISQUEADA,1,20.09414112
CHISQUEADA,2,16.91614294
CHISQUEADA,3,5.169458414
CHISQUEADA,4,5.59493985
CHISQUEADA,5,9.440974387
CHISQUEADA,6,45.32254957
CHISQUEADA,7,1.459914271
CHISQUEADA,8,0.203380787
CHISQUEADA,9,20.98710782
CHISQUEADA,10,12.61816181
CHISQUEADA,11,17.84280028
CHISQUEADA,12,12.82295587
CHISQUEADA,13,8.231039699
CHISQUEADA,14,0.049122801
CHISQUEADA,15,32.68157755
CHISQUEADA,16,3.303121609
CHISQUEADA,17,9.86395316
CHISQUEADA,18,2.318956134
CHISQUEADA,19,9.207635914
CHISQUEADA,20,5.501446146
CHISQUEADA,21,6.240085104
CHISQUEADA,22,4.998414039
CHISQUEADA,23,12.37464541
CHISQUEADA,24,33.82913743
CHISQUEADA,25,18.98754954
CHISQUEADA,26,18.11455872
CHISQUEADA,27,3.347774734
CHISQUEADA,28,47.15778257
CHISQUEADA,29,2.889776354
CHISQUEADA,30,22.65138785
CHISQUEADA,31,8.076192361
CHISQUEADA,32,70.12270394
CHISQUEADA,33,5.87683897
CHISQUEADA,34,13.22598419
CHISQUEADA,35,8.528341123
CHORREADA,1,12.72671238
CHORREADA,2,1.426309294
CHORREADA,3,1.662565544
CHORREADA,4,3.955689282
CHORREADA,5,26.09118692
CHORREADA,6,6.27960316
CHORREADA,7,7.605108611
CHORREADA,8,0.20966728
CHORREADA,9,0.024206285
CHORREADA,10,10.01016593
CHORREADA,11,5.7808125
CHORREADA,12,2.514816319
CHORREADA,13,22.82669988
CHORREADA,14,7.196487465
CHORREADA,15,16.34181556
CHORREADA,16,7.31335228
CHORREADA,17,19.15430101
CHORREADA,18,0.697256331
CHORREADA,19,27.05206292
CHORREADA,20,7.579891435
CHORREADA,21,24.05407644
CHORREADA,22,32.93788546
CHORREADA,23,6.588553588
CHORREADA,24,3.957446111
CHORREADA,25,25.82732704
CHORREADA,26,2.264796458
CHORREADA,27,11.19020536
CHORREADA,28,8.296056713
